,Actual,Atributo,Cluster,Erro,Predicted,Saida
99,0.39,sepal_length,2,0.05,0.43,5.7
100,0.56,sepal_length,3,0.12,0.67,6.3
101,0.42,sepal_length,3,0.09,0.51,5.8
102,0.78,sepal_length,3,0.09,0.69,7.1
103,0.56,sepal_length,3,0.12,0.67,6.3
104,0.61,sepal_length,3,0.03,0.64,6.5
105,0.92,sepal_length,3,0.08,0.84,7.6
106,0.17,sepal_length,3,0.22,0.38,4.9
107,0.83,sepal_length,3,0.01,0.82,7.3
108,0.67,sepal_length,3,0.02,0.65,6.7
109,0.81,sepal_length,3,0.06,0.75,7.2
110,0.61,sepal_length,3,0.04,0.57,6.5
111,0.58,sepal_length,3,0.03,0.55,6.4
112,0.69,sepal_length,3,0.09,0.6,6.8
113,0.39,sepal_length,3,0.04,0.43,5.7
114,0.42,sepal_length,3,0.0,0.41,5.8
115,0.58,sepal_length,3,0.04,0.55,6.4
116,0.61,sepal_length,3,0.06,0.67,6.5
117,0.94,sepal_length,3,0.03,0.98,7.7
118,0.94,sepal_length,3,0.15,0.8,7.7
119,0.47,sepal_length,3,0.01,0.49,6.0
120,0.72,sepal_length,3,0.09,0.63,6.9
121,0.36,sepal_length,3,0.1,0.46,5.6
122,0.94,sepal_length,3,0.09,0.85,7.7
123,0.56,sepal_length,3,0.07,0.48,6.3
124,0.67,sepal_length,3,0.03,0.69,6.7
125,0.81,sepal_length,3,0.0,0.81,7.2
126,0.53,sepal_length,3,0.05,0.48,6.2
127,0.5,sepal_length,3,0.03,0.53,6.1
128,0.58,sepal_length,3,0.0,0.59,6.4
129,0.81,sepal_length,3,0.03,0.78,7.2
130,0.86,sepal_length,3,0.12,0.74,7.4
131,1.0,sepal_length,3,0.04,0.96,7.9
132,0.58,sepal_length,3,0.02,0.57,6.4
133,0.56,sepal_length,3,0.05,0.61,6.3
134,0.5,sepal_length,3,0.21,0.71,6.1
135,0.94,sepal_length,3,0.26,0.69,7.7
136,0.56,sepal_length,3,0.07,0.62,6.3
137,0.58,sepal_length,3,0.1,0.68,6.4
138,0.47,sepal_length,3,0.04,0.51,6.0
139,0.72,sepal_length,3,0.13,0.59,6.9
140,0.67,sepal_length,3,0.09,0.57,6.7
141,0.72,sepal_length,3,0.24,0.48,6.9
142,0.42,sepal_length,3,0.09,0.51,5.8
143,0.69,sepal_length,3,0.02,0.68,6.8
144,0.67,sepal_length,3,0.06,0.61,6.7
145,0.67,sepal_length,3,0.18,0.49,6.7
146,0.56,sepal_length,3,0.11,0.45,6.3
147,0.61,sepal_length,3,0.06,0.56,6.5
148,0.53,sepal_length,3,0.07,0.6,6.2
149,0.44,sepal_length,3,0.13,0.58,5.9
